date,close,returns,ema20,ema50,rsi,macd,volatility,volume
2018-01-02,352.9327087402344,0.016046291701750537,,,100.0,,,1906518
2018-01-03,354.7115783691406,0.00504025154045884,,,100.0,,,2583906
2018-01-04,353.0512390136719,-0.004680815222053103,,,97.64811599388514,,,1193460
2018-01-05,355.7987060546875,0.007782063160835406,,,97.74272253341458,,,1492292
2018-01-08,355.9765930175781,0.0004999651765549284,,,97.74903603238788,,,2353168
2018-01-09,353.34783935546875,-0.007384625039038917,,,93.58346317864849,,,2504270
2018-01-10,362.0445861816406,0.024612423956052343,,,94.42926120378506,,,3400572
2018-01-11,362.4596862792969,0.0011465441371025786,,,94.4667521834369,,,4243446
2018-01-12,366.01751708984375,0.009815797301676588,,,94.7903739213445,,,1980698
2018-01-15,359.4355163574219,-0.017982747888009465,,,84.89775890155589,,,2536486
2018-01-16,375.2478942871094,0.04399225232367887,,,88.10851262005806,,,8963404
2018-01-17,376.67095947265625,0.0037923335672553904,,,88.3485927778502,,,5498922
2018-01-18,377.2244873046875,0.0014695261689570138,,,88.44630309228374,,,1869500
2018-01-19,378.82550048828125,0.004244192085813836,,,88.74042287635238,,,4748438
2018-01-22,382.0077819824219,0.008400388807086268,,,89.32227213427353,,,4431318
2018-01-23,393.4716796875,0.030009592070576296,,,91.10543670589561,,,5015202
2018-01-24,402.6034240722656,0.02320813633148422,,,92.21998555908769,,,9269776
2018-01-25,399.0851135253906,-0.008738898718962385,,,87.66221930987064,,,5307454
2018-01-29,400.8675231933594,0.004466239425027663,370.4569610595703,,87.98616100316119,,,4013296
2018-01-30,396.2530822753906,-0.011511136849424841,372.91373450869605,,81.98467593205226,,0.014964089472737311,2711352
2018-01-31,390.7671203613281,-0.013844591145034446,374.6140569708515,,75.40000442118149,,0.015466925919851125,3221144
2018-02-01,390.1135559082031,-0.0016725164914608293,376.09019972678976,,74.63097866576415,,0.015543604538026697,3055658
2018-02-02,392.4902038574219,0.0060921952421924,377.65210488208805,,75.60535155654112,,0.015380610747960103,3345056
2018-02-05,393.38134765625,0.0022704867282543617,379.1501280034368,,75.97791462577368,,0.015385434312214067,2177578
2018-02-06,377.8148193359375,-0.03957108900322104,379.02295574938927,,59.021193235255744,11.935063299847627,0.018346274703959286,3310994
2018-02-07,371.75469970703125,-0.01603992040216362,378.33074088821235,,53.97120097991954,9.84014008018147,0.01870617485310376,4051696
2018-02-08,374.05194091796875,0.006179454389542149,377.9232361291415,,55.52470246736353,8.269935829974372,0.018011335031761822,2896536
2018-02-09,381.8351745605469,0.020807895351317107,378.29580169403727,,60.40114200320019,7.566359276884157,0.018504392793362058,3456506
2018-02-12,371.99224853515625,-0.025777944728949675,377.6954632979534,,52.553574203607674,6.143707089082909,0.019477099226187858,2975588
2018-02-14,371.4575500488281,-0.0014373914737032534,377.1013763218462,,52.157138192593536,4.916425785325373,0.018973721851398465,2889532
2018-02-15,372.2101745605469,0.0020261386842717055,376.63554758267486,,52.69802230590528,3.958891382628792,0.01617872392805006,2281842
2018-02-16,371.1802673339844,-0.0027670044962593288,376.1159970827996,,51.83442790920206,3.081412953523852,0.016158268935094137,5698140
2018-02-19,362.1096496582031,-0.024437230300337065,374.78205923283804,,44.861533987262916,1.635231999849168,0.01699937080053153,2925546
2018-02-20,359.4360656738281,-0.007383354701810951,373.3205360367418,,43.024357840089465,0.27027176673681197,0.016976828625540417,2462802
2018-02-21,373.4775390625,0.039065287904118895,373.3354887058616,,53.73935170542404,0.31789599383074574,0.01924498902289845,5569512
2018-02-22,372.7251281738281,-0.002014608135634033,373.27735913138224,,53.16240671635227,0.29156429466456757,0.017812183596498124,8186574
2018-02-23,378.5079650878906,0.01551501757446716,373.77551207962114,,56.984792855224946,0.7289203036229992,0.017302336992324526,5675166
2018-02-26,374.725341796875,-0.009993510414337714,373.86597205269294,,53.886943002902996,0.7615236343940524,0.017326730055461405,2112112
2018-02-27,376.25030517578125,0.004069549637592651,374.093051397749,,54.950216775759195,0.9000387228095406,0.017317956535107714,2879428
2018-02-28,372.4477233886719,-0.010106521469352314,373.9363534921226,,51.74613954699175,0.6949652310260035,0.017284530497982988,5119548
2018-03-01,373.43798828125,0.0026588023778701952,373.8888901387062,,52.52252727214179,0.6053707746943928,0.017130345167076424,2772230
2018-03-05,369.19970703125,-0.01134935754529609,373.4423012713294,,48.89637269713039,0.19018036560618157,0.017253088229019966,3747704
2018-03-06,369.47711181640625,0.0007513678366293242,373.06466418038434,,49.1438600158469,-0.11514940640898885,0.017152351484911416,2929756
2018-03-07,376.1117248535156,0.017956763287697575,373.35486043496826,,54.783882380657005,0.1762012356438163,0.01774838266780344,5695220
2018-03-08,376.5473327636719,0.0011581875314465861,373.6589054186543,,55.135688414272494,0.43720876586127133,0.015403461244792131,4238350
2018-03-09,373.5173034667969,-0.008046874943014704,373.64541951847735,,52.09916568856948,0.3950076702312231,0.015066935539756944,1464728
2018-03-12,383.2809753417969,0.026139811420725634,374.5630915016506,,59.78487847957518,1.136311033538334,0.01609952532322255,4946236
2018-03-13,379.06256103515625,-0.011006062335545796,374.99161240960353,,55.631668421836515,1.3676431708300356,0.015640081657673655,2513508
2018-03-14,382.25103759765625,0.008411478447760246,375.68298623703714,374.34013732910154,58.006295497052015,1.7876520278724684,0.014532102978224753,2354082
2018-03-15,379.91412353515625,-0.006113558454116652,376.08595169400087,374.55872502345665,55.65518965407451,1.9099261983145652,0.014618542318122959,2590154
2018-03-16,383.2611083984375,0.008809845846574627,376.76929995156627,374.8999949597304,58.26434520521164,2.2509554525885846,0.014716438457927536,9482072
2018-03-19,366.98162841796875,-0.04247621170981075,375.8371407578903,374.58947078162214,44.537893048445426,1.1938437251295682,0.017706659850067884,3318748
2018-03-20,371.2198181152344,0.011548778928079262,375.39739574430405,374.45732753980303,47.974250424973796,0.6901064361600788,0.016949822520817042,3707786
2018-03-21,371.2793273925781,0.00016030738241812337,375.00519875842537,374.33270008304913,48.02294746635947,0.2923231870271934,0.016828051468153825,3818980
2018-03-22,368.5857849121094,-0.00725476018119553,374.39382601115716,374.1073308606594,45.92748110481034,-0.23753115973283911,0.014441355383476602,3095286
2018-03-23,379.2209777832031,0.028854050553332566,374.853554751352,374.3078660340925,54.3899757875113,0.1984391527188336,0.015857709405325833,5478072
2018-03-26,383.0432434082031,0.010079256815758608,375.6335250996235,374.6504298526851,56.99493876792526,0.8426599983408778,0.015640655046814996,3571336
2018-03-27,385.02374267578125,0.005170432586034446,376.52783153544806,375.057226433983,58.323172217943565,1.495777012713745,0.015460862174879778,2495200
2018-03-28,383.6572570800781,-0.003549094365470906,377.2068244444605,375.3944825377514,57.01472286760401,1.8814250874203253,0.015487295359678448,4620172
2018-04-02,387.9747009277344,0.011253387673454407,378.23233649048655,375.8878244353978,60.06328102148511,2.5065417481867485,0.015410859596048451,1295646
2018-04-03,383.9147033691406,-0.010464593564697311,378.7735142884536,376.20260400142695,56.03847616799792,2.6438664862989754,0.0156656860005014,2036000
2018-04-04,379.9537048339844,-0.010317392119643998,378.8859133880279,376.3497059948606,52.35262471351387,2.405350469351106,0.01562277139897377,1804780
2018-04-05,381.06280517578125,0.002919040734927103,379.093236415433,376.5345334137202,53.27926675910543,2.2795427856822243,0.015624434542012806,2805104
2018-04-06,377.339599609375,-0.009770582475738476,378.9262233862846,376.56610463707926,49.7793847435054,1.8579899651379037,0.01532981358263411,2515810
2018-04-09,377.5771484375,0.0006295359097505671,378.79774005782895,376.60575341356633,50.005038187468955,1.525489628036155,0.015328666806027555,1708072
2018-04-10,375.67596435546875,-0.005035220192479262,378.50042808617565,376.5692910975625,48.14068510851191,1.0959377604806377,0.015257511348769527,2431772
2018-04-11,383.1423645019531,0.019874575045795595,378.94251726863064,376.8270586820484,55.20423664283019,1.3425152233918425,0.01475732233006067,3716964
2018-04-12,400.07537841796875,0.04419509687483103,380.9551707114247,377.73875749522176,66.3862691141901,2.871185112438809,0.017483819770396286,8182766
2018-04-13,392.62872314453125,-0.018613130612746165,382.0669376098158,378.3226777167633,59.367741650041786,3.442105714666411,0.018065684544138882,6361110
2018-04-16,396.0550537109375,0.008726642663748674,383.399139143256,379.01806501065244,61.39036993591919,4.123507420117448,0.01804148066562003,3824528
2018-04-17,400.4516296386719,0.011100921163710753,385.0231858571051,379.8585969568493,63.87532780846448,4.961101623237425,0.018092612362590358,3729906
2018-04-18,394.84698486328125,-0.01399580963235858,385.9587857624552,380.4463768747486,58.68967658022867,5.113705457009814,0.015280984028638367,2008262
2018-04-19,403.44219970703125,0.021768470251143368,387.6238728047957,381.3481738485636,63.573708055228686,5.86064918374592,0.01571918124043177,2301628
2018-04-20,420.7910461425781,0.04300206187688138,390.7826512179178,382.89495315421124,71.02104671423874,7.763027042186877,0.017895683289547493,9490598
2018-04-23,430.9509582519531,0.024144791583641467,394.60820426877837,384.77950237373057,74.33084646199612,9.975503799921967,0.0180090384354026,9086924
2018-04-24,420.6326904296875,-0.023943020950966565,397.0867267602935,386.185509748474,66.07675529864245,10.772135122298096,0.01864929371083307,3993618
2018-04-25,423.34600830078125,0.006450563479319715,399.58761071653043,387.6427842015056,67.1110141054812,11.48996410678484,0.01861857815484039,3002280
2018-04-26,426.71270751953125,0.007952594692608894,402.1709532691972,389.17493805711445,68.39845837425786,12.189994569553278,0.01862891442689328,6052212
2018-04-27,412.5920104980469,-0.033091812764535655,403.16343491004005,390.09325462342554,58.12176799378,11.473096798560505,0.02045103302557801,4764608
2018-04-30,416.9886169433594,0.01065606297127597,404.48011891321335,391.14797471440335,60.130376221131506,11.13140365397794,0.02044006902493168,3147666
2018-05-02,396.2926940917969,-0.049631865261141384,403.7003641683166,391.3497284154776,48.36970246870747,9.085884938251809,0.02352339631369988,15014958
2018-05-03,366.664794921875,-0.07476266812796428,400.17316709722695,390.3816918078853,37.163556113343546,5.016248575472503,0.029044057116823573,15276024
2018-05-04,368.3085021972656,0.004482860907714992,397.1384371067544,389.5160765290375,38.021448081972956,1.9017437596456261,0.029058316474679144,8365006
2018-05-07,367.6550598144531,-0.0017741713235349676,394.33049641224954,388.65878175591655,37.800502115530875,-0.6121940925187914,0.02899046513693013,2576842
2018-05-08,364.4465026855469,-0.008727085465723095,391.4844017716112,387.70928061590206,36.673569957003956,-2.830780225238243,0.029040052626712318,4080268
2018-05-09,368.1780090332031,0.010238831543613047,389.26474532033427,386.94334839697274,38.95298661082665,-4.239059108037452,0.029139013509493935,2757280
2018-05-10,369.2498779296875,0.0029112789742629097,387.35856747360606,386.2494868100204,39.62524504497805,-5.208597932071825,0.028756129498687784,3741482
2018-05-11,370.30169677734375,0.0028485286266135557,385.7341035977716,385.62408327932724,40.319767525009254,-5.824945103430252,0.026716134380517554,2117402
2018-05-14,367.3047790527344,-0.008093178483087993,383.97892983157755,384.90567919200987,38.94508583976266,-6.480527405421412,0.026505919154625017,3132296
2018-05-15,367.1856994628906,-0.0003241983133213111,382.3795745583693,384.2107780261621,38.88835086749479,-6.92980732548267,0.02637233406234273,4239330
2018-05-16,365.30010986328125,-0.00513524792051423,380.7529588731228,383.4691831962452,37.94569066805761,-7.353252503556689,0.026150149694460913,1963972
2018-05-17,361.1320495605469,-0.01140996181001519,378.8843008433537,382.5932171713158,35.87552359995808,-7.9337086358436295,0.02610578895267722,2899904
2018-05-18,353.5699768066406,-0.02093991038211196,376.4734128398572,381.455050882505,32.41975824319797,-8.901311595800564,0.025618732452111215,3517726
2018-05-21,355.6540222167969,0.005894294048886195,374.4906137328991,380.443245836791,34.29810136125918,-9.391716997853507,0.023081547043499184,2942476
2018-05-22,359.20684814453125,0.00998955643911903,373.0350170101974,379.61044592729064,37.48795200917251,-9.385493327188442,0.022242120812368222,2485094
2018-05-23,355.0189514160156,-0.0116587329839285,371.319201239323,378.64607359351515,35.31165946298051,-9.607737274928695,0.021970488320903384,3734828
2018-05-24,361.9060974121094,0.019399375635086313,370.4227151605407,377.9896039393424,41.34249083804866,-9.122968182729835,0.022606716079315657,6309330
2018-05-25,363.6131591796875,0.004716863793632786,369.77418601950706,377.4258217919049,42.766766611280495,-8.503022021539607,0.022501197468435125,2089082
2018-05-28,355.0783996582031,-0.023472086490870736,368.3745873184305,376.5494522964657,37.82204129837585,-8.60124419871363,0.022028160214990527,2651764
2018-05-29,359.2862243652344,0.011850410250473287,367.5090289419356,375.8724629658292,41.41828309306504,-8.244512090825083,0.022080783925279252,1985832
2018-05-30,360.1792907714844,0.0024856683771492527,366.81095863998786,375.25704444840386,42.18261443868345,-7.799824804763432,0.019760535751733154,2374048
2018-05-31,361.3702087402344,0.0033064587533588874,366.2927919828685,374.71246265592663,43.24601939572402,-7.26753418934743,0.010882159283702883,5618644
