date,open,high,low,close,volume,dividends,stock_splits,capital_gains,returns,forward_return,label
2024-01-01,1448.945315866922,1465.8920447074709,1445.4147473584744,1460.5726318359375,2808451,0.0,0.0,0.0,,-0.01840332616493212,Sell
2024-01-02,1455.5355811804557,1458.5012814497022,1433.8814295846275,1444.6143798828125,5396313,0.0,0.0,0.0,-0.010926024221791342,-0.003323818320690508,Hold
2024-01-03,1431.0099267639569,1431.0099267639569,1400.9295302013422,1402.8125,7550363,0.0,0.0,0.0,-0.0289363587023157,0.02006702146914674,Buy
2024-01-04,1416.8875744672803,1430.821596173285,1405.5427510177758,1424.18408203125,7056038,0.0,0.0,0.0,0.015234810091334428,-0.012229795774650332,Hold
2024-01-05,1418.582205079393,1449.6040828896844,1418.1114626851406,1442.87255859375,8895403,0.0,0.0,0.0,0.01312223384483091,0.052331165146025205,Buy
2024-01-08,1439.4832774397032,1446.120791889042,1424.7020106289667,1433.6932373046875,4440136,0.0,0.0,0.0,-0.00636183787292266,0.08490929827332327,Buy
2024-01-09,1451.675429581847,1462.1258878294154,1436.5645526388157,1439.812744140625,4412074,0.0,0.0,0.0,0.004268351608773813,0.06686067066351975,Buy
2024-01-10,1435.7171978317997,1445.602788218323,1416.9346220683428,1430.9627685546875,4096845,0.0,0.0,0.0,-0.006146615677596112,0.07914994198736824,Buy
2024-01-11,1435.6702550988025,1435.7643805973064,1399.6113397659765,1406.7666015625,11296088,0.0,0.0,0.0,-0.01690901225657071,0.09931742089190854,Buy
2024-01-12,1470.5994024363956,1523.3225564289937,1464.3856251298819,1518.3797607421875,26754401,0.0,0.0,0.0,0.07934021113077216,0.028801629641099336,Buy
2024-01-15,1548.6954842465418,1567.5251815652139,1540.2692406673768,1555.4271240234375,13228305,0.0,0.0,0.0,0.024399273646232622,-0.006022574530537006,Hold
2024-01-16,1548.5542635934448,1552.0377114243083,1529.9128183588118,1536.07958984375,6500917,0.0,0.0,0.0,-0.012438727524334947,0.026876328518693038,Buy
