date,close,returns,ema20,ema50,rsi,macd,volatility,volume
2023-01-03,4172.802734375,0.006258516089256316,,,100.0,,,191007
2023-01-04,4104.490234375,-0.01637089130460223,,,83.16194877720008,,,428917
2023-01-05,4087.4599609375,-0.004149181132134694,,,79.5651127945287,,,218691
2023-01-06,4027.397705078125,-0.01469427381145505,,,68.33900229842713,,,264197
2023-01-09,4121.0888671875,0.023263449246951673,,,74.40546512659382,,,388187
2023-01-10,4060.02001953125,-0.01481861945334062,,,65.58446716370277,,,225477
2023-01-11,4054.16650390625,-0.001441745507864689,,,64.79157673572216,,,243019
2023-01-12,4102.76318359375,0.011986848502812286,,,68.2260339230217,,,252469
2023-01-13,4113.60498046875,0.0026425597554240454,,,68.95364860090653,,,437340
2023-01-16,4103.578125,-0.0024374862234844974,,,67.41605511070395,,,347903
2023-01-17,4100.93994140625,-0.0006428983470979643,,,66.99276596399187,,,225154
2023-01-18,4100.46044921875,-0.00011692250907135993,,,66.91053611164206,,,205896
2023-01-19,4066.87939453125,-0.008189581414911107,,,61.241073732802846,,,233112
2023-01-20,4094.990966796875,0.006912320120293414,,,63.99166403629929,,,449630
2023-01-23,4191.7041015625,0.023617423225056555,,,71.48824353184376,,,1266347
2023-01-24,4326.603515625,0.032182475383273124,,,78.28056114609302,,,1009385
2023-01-25,4250.998046875,-0.0174745544575462,,,68.43976267338194,,,312847
2023-01-27,4220.6796875,-0.007132056764243333,,,64.9155483848628,,,449822
2023-01-30,4268.5078125,0.011331853763186128,4135.799291992187,,67.73788607643569,,,745273
2023-01-31,4210.34326171875,-0.013626436529158847,4142.898717680431,,61.281582258397165,,0.014187180243443214,486171
2023-02-01,4229.18603515625,0.0044753532589187905,4151.116557440033,,62.52762980648319,,0.01415700628563092,363833
2023-02-02,4421.60498046875,0.04549786737045047,4176.877359633244,,72.32304765480278,,0.016739317236476214,902731
2023-02-03,4339.15380859375,-0.01864734010369673,4192.332259534244,,64.53800453837019,,0.017405071718924803,646511
2023-02-06,4429.60546875,0.020845460692614504,4214.9297080309825,,68.53894409920693,,0.017302965211126918,528238
2023-02-07,4427.8701171875,-0.00039176210494196173,4235.20974699827,,68.37954691251088,114.5639221324218,0.016783147549112195,312037
2023-02-08,4543.95849609375,0.02621765675908927,4264.614389769268,,72.91712369969284,125.68479131434196,0.01690431773619685,610010
2023-02-09,4525.59814453125,-0.004040607232280724,4289.469985460885,,71.17742084769968,131.50077426596818,0.016972607290564073,553507
2023-02-10,4521.69482421875,-0.0008624982130189807,4311.586636771158,,70.79073360753719,134.24749576421164,0.016963324737513778,252444
2023-02-13,4453.65185546875,-0.015048111691561616,4325.1166575995,,64.23908376644752,129.44167041936817,0.017544438487041684,253166
2023-02-14,4468.734375,0.0033865510867738813,4338.794535447167,,65.01206317475051,125.40446784206233,0.017478015675896165,318114
2023-02-15,4571.0888671875,0.022904581834202187,4360.917805136722,,69.7851318755018,128.9773373609305,0.01790723375244414,488248
2023-02-16,4768.80908203125,0.043254511252896144,4399.764593412391,,76.46445507824893,146.07931965115858,0.01971443904884689,994748
2023-02-17,4682.35791015625,-0.018128461506405458,4426.678242626092,,69.25552706304556,150.9171972543154,0.020255499947470525,396974
2023-02-20,4709.87353515625,0.005876446339208252,4453.649222867059,,70.21793474860633,155.18268173252272,0.0202577699984842,693618
2023-02-21,4702.2119140625,-0.0016267148229269779,4477.321860123768,,69.56494189472814,156.1449384674288,0.01996613599499058,410733
2023-02-22,4631.27685546875,-0.01508546613597117,4491.984240632813,,63.662036174736414,149.46077666573183,0.019489393813513462,411601
2023-02-23,4677.82763671875,0.010051392456711161,4509.683611688617,,65.71789650891881,146.23409368245666,0.018886428076888256,422276
2023-02-24,4677.77978515625,-1.022944114581481e-05,4525.692771066487,,65.7137808127489,142.035763087355,0.01871272895971771,344150
