date,open,high,low,close,volume,returns,forward_return,label
2022-01-03 00:00:00+05:30,1887.75,1914.050048828125,1887.75,1704.24951171875,3329616,,-0.0251258271846313,Sell
2022-01-04 00:00:00+05:30,1898.449951171875,1906.6500244140625,1878.0,1704.8778076171875,3921999,0.00036866426782999895,-0.022931316601556673,Sell
2022-01-05 00:00:00+05:30,1900.0,1902.9000244140625,1840.0,1655.9530029296875,6995719,-0.02869695673725703,0.01778104814933279,Buy
2022-01-06 00:00:00+05:30,1828.0,1828.0,1800.0,1631.849609375,6449205,-0.014555602430771919,0.043459166111115666,Buy
2022-01-07 00:00:00+05:30,1815.449951171875,1836.0,1806.800048828125,1628.70751953125,4834389,-0.0019254775842691974,0.06341278747137324,Buy
2022-01-10 00:00:00+05:30,1815.0,1869.9000244140625,1813.0,1661.4288330078125,7857560,0.020090355747838462,0.04795360909009094,Buy
2022-01-11 00:00:00+05:30,1855.0,1870.0,1850.1500244140625,1665.78271484375,5142287,0.002620564750916987,0.035109978739700676,Buy
2022-01-12 00:00:00+05:30,1868.9000244140625,1889.0,1860.0,1685.3975830078125,5362535,0.011775166106164248,-0.005539308703254919,Hold
2022-01-13 00:00:00+05:30,1905.0,1912.5,1866.3499755859375,1702.7684326171875,14277630,0.010306677655472996,-0.03853867341349204,Sell
2022-01-14 00:00:00+05:30,1882.0,1933.0,1881.0,1731.9884033203125,7688506,0.017160272731984616,-0.07445514305333867,Sell
2022-01-17 00:00:00+05:30,1938.550048828125,1953.9000244140625,1930.5,1741.100341796875,5262464,0.005260969680336514,-0.10451147556063223,Sell
2022-01-18 00:00:00+05:30,1922.0999755859375,1945.0,1911.449951171875,1724.268310546875,3690315,-0.009667467661644835,-0.10339714691594581,Sell
2022-01-19 00:00:00+05:30,1916.0,1916.0,1862.8499755859375,1676.0616455078125,5747770,-0.027957751554207433,-0.10093474307220007,Sell
2022-01-20 00:00:00+05:30,1844.0,1848.0,1815.5,1637.14599609375,5533463,-0.02321850721801577,-0.07539626439995528,Sell
2022-01-21 00:00:00+05:30,1795.0,1808.0,1776.0,1603.032958984375,8252758,-0.020836893710621474,-0.02772012830293158,Sell
